stamp,x,y,z,method,accum,voxel_d,proc_ms
1739296846.467142,3.37368,1.89166,0.03287,p2p[d=0.03],1,0.030,41.65
1739296846.578758,3.37146,1.91070,0.03355,p2p[d=0.03],1,0.030,26.18
1739296846.689310,3.36777,1.92615,0.02971,p2p[d=0.03],1,0.030,21.96
1739296846.814498,3.36539,1.95092,0.02819,p2p[d=0.03],1,0.030,22.29
1739296846.927165,3.34992,1.97197,0.02486,p2p[d=0.03],1,0.030,24.52
1739296847.037045,3.31570,2.00308,0.02647,p2p[d=0.03],1,0.030,26.56
1739296847.156217,3.27230,2.03460,0.02609,p2p[d=0.03],1,0.030,23.07
1739296847.270127,3.22939,2.08118,0.02679,p2p[d=0.03],1,0.030,22.39
1739296847.404001,3.19555,2.12129,0.03077,p2p[d=0.03],1,0.030,48.00
1739296847.520320,3.19497,2.13415,0.02840,p2p[d=0.03],1,0.030,43.95
1739296847.631916,3.20612,2.13186,0.02697,p2p[d=0.03],1,0.030,23.24
1739296847.748713,3.21361,2.12993,0.02625,p2p[d=0.03],1,0.030,20.49
1739296847.868167,3.23289,2.13903,0.02885,p2p[d=0.03],1,0.030,21.82
1739296847.984397,3.25369,2.14901,0.03059,p2p[d=0.03],1,0.030,23.67
1739296848.104535,3.27344,2.15557,0.03557,p2p[d=0.03],1,0.030,22.85
1739296848.231208,3.27762,2.17041,0.03677,p2p[d=0.03],1,0.030,23.40
1739296848.358997,3.28116,2.18199,0.04180,p2p[d=0.03],1,0.030,27.23
1739296848.476941,3.29642,2.19278,0.04369,p2p[d=0.03],1,0.030,29.00
1739296848.592518,3.31187,2.19560,0.04616,p2p[d=0.03],1,0.030,29.87
1739296848.705124,3.31727,2.21340,0.04202,p2p[d=0.03],1,0.030,26.77
1739296848.821362,3.31809,2.22676,0.03816,p2p[d=0.03],1,0.030,28.85
1739296848.933926,3.32037,2.23519,0.03603,p2p[d=0.03],1,0.030,29.02
1739296849.057521,3.32062,2.23964,0.03244,p2p[d=0.03],1,0.030,29.37
1739296849.187337,3.32179,2.24085,0.02926,p2p[d=0.03],1,0.030,22.78
1739296849.315426,3.32533,2.25603,0.03246,p2p[d=0.03],1,0.030,31.70
1739296849.434044,3.33098,2.25930,0.03578,p2p[d=0.03],1,0.030,40.03
1739296849.550937,3.33876,2.26071,0.03592,p2p[d=0.03],1,0.030,42.58
1739296849.662098,3.34517,2.26880,0.04131,p2p[d=0.03],1,0.030,22.98
1739296849.782445,3.35544,2.28050,0.04041,p2p[d=0.03],1,0.030,26.71
1739296849.900968,3.36077,2.29416,0.03871,p2p[d=0.03],1,0.030,21.33
1739296850.031854,3.35860,2.30941,0.03614,p2p[d=0.03],1,0.030,22.70
1739296850.161729,3.35644,2.31729,0.03385,p2p[d=0.03],1,0.030,22.92
1739296850.281572,3.35696,2.32874,0.03722,p2p[d=0.03],1,0.030,26.42
1739296850.400849,3.35988,2.34100,0.03901,p2p[d=0.03],1,0.030,42.23
1739296850.512359,3.36032,2.34328,0.03178,p2p[d=0.03],1,0.030,27.50
1739296850.627341,3.36171,2.34691,0.02812,p2p[d=0.03],1,0.030,33.30
1739296850.745832,3.36319,2.34940,0.02509,p2p[d=0.03],1,0.030,45.21
1739296850.860300,3.36491,2.34671,0.02563,p2p[d=0.03],1,0.030,29.62
1739296850.982215,3.36582,2.35046,0.02726,p2p[d=0.03],1,0.030,44.70
1739296851.106894,3.36243,2.34635,0.03043,p2p[d=0.03],1,0.030,26.44
